Name,Password,Id,Role,Job_Type,Outet_Id
Tan Guan Han,a2b1c0,6001,Manager,Full-Time,KLCC
Adam bin Abu,d3e4f5,6002,Employee,Full-Time,KLCC
Jinu Saja,g6h7i8,6003,Manager,Full-Time,MidValley
Wong Benedict,j9k0I1,6004,Employee,Part - Time,MidValley
Dhaarane,m2n3o4,6005,Manager,Full-Time,Lalaport
Humam,a1b2,6006,Employee,Part-Time,Lalaport
Kang Rumi,s8t9u0,6007,Manager,Full-Time,Nu_Sentral
Li Xinyi,v1w2x3,6008,Employee,Full-Time,Nu_Sentral
Megan Mei,o1p2,6009,Manager,Full-Time,PavilionKL
Aminah binti Said,b7c8d9,6010,Employee,Part-Time,PavilionKL
Jarjit Singh,e0f1g2,6011,Manager,Full-Time,MyTown
Khairul Ariffin,h3i4j5,6012,Employee,Full-Time,MyTown
Adib,c1d2,2001,Manager,Full-Time,KLEast
Yughen ,j1j2,2411,Employee,Part-time,KLEast
Maven,g4g5,6014,Employee,Employee,KLEast
Javen,l9l0,6020,Employee,Employee,Nu_Sentral
Rocky,b6b7,6030,Employee,Part-Time,KLCC
Johny,k3k4,6045,Employee,Full-Time,MidValley
